CASUALTY_KEY,CASUALTY_TYPE,CASUALTY_SEVERITY,GENDER,AGE_BAND
1,Cyclist,Fatal,Female,21-25
2,Cyclist,Fatal,Female,46-55
3,Cyclist,Fatal,Female,56-65
4,Cyclist,Fatal,Male,16-20
5,Cyclist,Fatal,Male,21-25
6,Cyclist,Fatal,Male,26-35
7,Cyclist,Fatal,Male,36-45
8,Cyclist,Fatal,Male,46-55
9,Cyclist,Fatal,Male,56-65
10,Cyclist,Fatal,Male,66-75
11,Cyclist,Fatal,Male,Over 75
12,Cyclist,Serious,Female,16-20
13,Cyclist,Serious,Female,21-25
14,Cyclist,Serious,Female,26-35
15,Cyclist,Serious,Female,36-45
16,Cyclist,Serious,Female,46-55
17,Cyclist,Serious,Female,56-65
18,Cyclist,Serious,Female,66-75
19,Cyclist,Serious,Male,11-15
20,Cyclist,Serious,Male,16-20
21,Cyclist,Serious,Male,21-25
22,Cyclist,Serious,Male,26-35
23,Cyclist,Serious,Male,36-45
24,Cyclist,Serious,Male,46-55
25,Cyclist,Serious,Male,56-65
26,Cyclist,Serious,Male,66-75
27,Cyclist,Serious,Male,Over 75
28,Cyclist,Serious,,21-25
29,Cyclist,Slight,Female,11-15
30,Cyclist,Slight,Female,16-20
31,Cyclist,Slight,Female,21-25
32,Cyclist,Slight,Female,26-35
33,Cyclist,Slight,Female,36-45
34,Cyclist,Slight,Female,46-55
35,Cyclist,Slight,Female,56-65
36,Cyclist,Slight,Male,11-15
37,Cyclist,Slight,Male,16-20
38,Cyclist,Slight,Male,21-25
39,Cyclist,Slight,Male,26-35
40,Cyclist,Slight,Male,36-45
41,Cyclist,Slight,Male,46-55
42,Cyclist,Slight,Male,56-65
43,Cyclist,Slight,Male,66-75
44,Cyclist,Slight,Male,Over 75
45,Cyclist,Slight,,16-20
46,Cyclist,Slight,,21-25
47,Cyclist,Slight,,26-35
48,Cyclist,Slight,,36-45
49,Driver of vehicle,Fatal,Female,0-5
50,Driver of vehicle,Fatal,Female,26-35
51,Driver of vehicle,Fatal,Female,36-45
52,Driver of vehicle,Fatal,Female,46-55
53,Driver of vehicle,Fatal,Female,56-65
54,Driver of vehicle,Fatal,Female,6-10
55,Driver of vehicle,Fatal,Male,0-5
56,Driver of vehicle,Fatal,Male,11-15
57,Driver of vehicle,Fatal,Male,16-20
58,Driver of vehicle,Fatal,Male,21-25
59,Driver of vehicle,Fatal,Male,26-35
60,Driver of vehicle,Fatal,Male,36-45
61,Driver of vehicle,Fatal,Male,46-55
62,Driver of vehicle,Fatal,Male,56-65
63,Driver of vehicle,Fatal,Male,66-75
64,Driver of vehicle,Fatal,Male,Over 75
65,Driver of vehicle,Serious,Female,0-5
66,Driver of vehicle,Serious,Female,11-15
67,Driver of vehicle,Serious,Female,16-20
68,Driver of vehicle,Serious,Female,21-25
69,Driver of vehicle,Serious,Female,26-35
70,Driver of vehicle,Serious,Female,36-45
71,Driver of vehicle,Serious,Female,46-55
72,Driver of vehicle,Serious,Female,56-65
73,Driver of vehicle,Serious,Female,6-10
74,Driver of vehicle,Serious,Female,66-75
75,Driver of vehicle,Serious,Female,Over 75
76,Driver of vehicle,Serious,Male,0-5
77,Driver of vehicle,Serious,Male,11-15
78,Driver of vehicle,Serious,Male,16-20
79,Driver of vehicle,Serious,Male,21-25
80,Driver of vehicle,Serious,Male,26-35
81,Driver of vehicle,Serious,Male,36-45
82,Driver of vehicle,Serious,Male,46-55
83,Driver of vehicle,Serious,Male,56-65
84,Driver of vehicle,Serious,Male,6-10
85,Driver of vehicle,Serious,Male,66-75
86,Driver of vehicle,Serious,Male,Over 75
87,Driver of vehicle,Serious,,36-45
88,Driver of vehicle,Serious,,46-55
89,Driver of vehicle,Slight,Female,0-5
90,Driver of vehicle,Slight,Female,11-15
91,Driver of vehicle,Slight,Female,16-20
92,Driver of vehicle,Slight,Female,21-25
93,Driver of vehicle,Slight,Female,26-35
94,Driver of vehicle,Slight,Female,36-45
95,Driver of vehicle,Slight,Female,46-55
96,Driver of vehicle,Slight,Female,56-65
97,Driver of vehicle,Slight,Female,6-10
98,Driver of vehicle,Slight,Female,66-75
99,Driver of vehicle,Slight,Female,Over 75
100,Driver of vehicle,Slight,Male,0-5
101,Driver of vehicle,Slight,Male,11-15
102,Driver of vehicle,Slight,Male,16-20
103,Driver of vehicle,Slight,Male,21-25
104,Driver of vehicle,Slight,Male,26-35
105,Driver of vehicle,Slight,Male,36-45
106,Driver of vehicle,Slight,Male,46-55
107,Driver of vehicle,Slight,Male,56-65
108,Driver of vehicle,Slight,Male,6-10
109,Driver of vehicle,Slight,Male,66-75
110,Driver of vehicle,Slight,Male,Over 75
111,Driver of vehicle,Slight,,0-5
112,Driver of vehicle,Slight,,11-15
113,Driver of vehicle,Slight,,16-20
114,Driver of vehicle,Slight,,21-25
115,Driver of vehicle,Slight,,26-35
116,Driver of vehicle,Slight,,36-45
117,Driver of vehicle,Slight,,46-55
118,Driver of vehicle,Slight,,56-65
119,Driver of vehicle,Slight,,6-10
120,Motorcyclist,Fatal,Female,16-20
121,Motorcyclist,Fatal,Female,21-25
122,Motorcyclist,Fatal,Female,26-35
123,Motorcyclist,Fatal,Female,46-55
