DRIVER_KEY,SEX_OF_DRIVER,AGE_BAND_OF_DRIVER,JOURNEY_PURPOSE_OF_DRIVER
1,FEMALE,0-5,TAKING PUPIL TO/FROM SCHOOL
2,FEMALE,0-5,UNKNOWN
3,FEMALE,11-15,COMMUTING TO/FROM WORK
4,FEMALE,11-15,TAKING PUPIL TO/FROM SCHOOL
5,FEMALE,11-15,UNKNOWN
6,FEMALE,16-20,COMMUTING TO/FROM WORK
7,FEMALE,16-20,TAKING PUPIL TO/FROM SCHOOL
8,FEMALE,16-20,UNKNOWN
9,FEMALE,21-25,COMMUTING TO/FROM WORK
10,FEMALE,21-25,TAKING PUPIL TO/FROM SCHOOL
11,FEMALE,21-25,UNKNOWN
12,FEMALE,26-35,COMMUTING TO/FROM WORK
13,FEMALE,26-35,TAKING PUPIL TO/FROM SCHOOL
14,FEMALE,26-35,UNKNOWN
15,FEMALE,36-45,COMMUTING TO/FROM WORK
16,FEMALE,36-45,TAKING PUPIL TO/FROM SCHOOL
17,FEMALE,36-45,UNKNOWN
18,FEMALE,46-55,COMMUTING TO/FROM WORK
19,FEMALE,46-55,TAKING PUPIL TO/FROM SCHOOL
20,FEMALE,46-55,UNKNOWN
21,FEMALE,56-65,COMMUTING TO/FROM WORK
22,FEMALE,56-65,TAKING PUPIL TO/FROM SCHOOL
23,FEMALE,56-65,UNKNOWN
24,FEMALE,6-10,UNKNOWN
25,FEMALE,66-75,COMMUTING TO/FROM WORK
26,FEMALE,66-75,TAKING PUPIL TO/FROM SCHOOL
27,FEMALE,66-75,UNKNOWN
28,FEMALE,OVER 75,COMMUTING TO/FROM WORK
29,FEMALE,OVER 75,TAKING PUPIL TO/FROM SCHOOL
30,FEMALE,OVER 75,UNKNOWN
31,FEMALE,UNKNOWN,COMMUTING TO/FROM WORK
32,FEMALE,UNKNOWN,TAKING PUPIL TO/FROM SCHOOL
33,FEMALE,UNKNOWN,UNKNOWN
34,MALE,0-5,UNKNOWN
35,MALE,11-15,COMMUTING TO/FROM WORK
36,MALE,11-15,TAKING PUPIL TO/FROM SCHOOL
37,MALE,11-15,UNKNOWN
38,MALE,16-20,COMMUTING TO/FROM WORK
39,MALE,16-20,TAKING PUPIL TO/FROM SCHOOL
40,MALE,16-20,UNKNOWN
41,MALE,21-25,COMMUTING TO/FROM WORK
42,MALE,21-25,TAKING PUPIL TO/FROM SCHOOL
43,MALE,21-25,UNKNOWN
44,MALE,26-35,COMMUTING TO/FROM WORK
45,MALE,26-35,TAKING PUPIL TO/FROM SCHOOL
46,MALE,26-35,UNKNOWN
47,MALE,36-45,COMMUTING TO/FROM WORK
48,MALE,36-45,TAKING PUPIL TO/FROM SCHOOL
49,MALE,36-45,UNKNOWN
50,MALE,46-55,COMMUTING TO/FROM WORK
51,MALE,46-55,TAKING PUPIL TO/FROM SCHOOL
52,MALE,46-55,UNKNOWN
53,MALE,56-65,COMMUTING TO/FROM WORK
54,MALE,56-65,TAKING PUPIL TO/FROM SCHOOL
55,MALE,56-65,UNKNOWN
56,MALE,6-10,COMMUTING TO/FROM WORK
57,MALE,6-10,TAKING PUPIL TO/FROM SCHOOL
58,MALE,6-10,UNKNOWN
59,MALE,66-75,COMMUTING TO/FROM WORK
60,MALE,66-75,TAKING PUPIL TO/FROM SCHOOL
61,MALE,66-75,UNKNOWN
62,MALE,OVER 75,COMMUTING TO/FROM WORK
63,MALE,OVER 75,TAKING PUPIL TO/FROM SCHOOL
64,MALE,OVER 75,UNKNOWN
65,MALE,UNKNOWN,COMMUTING TO/FROM WORK
66,MALE,UNKNOWN,TAKING PUPIL TO/FROM SCHOOL
67,MALE,UNKNOWN,UNKNOWN
68,UNKNOWN,0-5,UNKNOWN
69,UNKNOWN,11-15,UNKNOWN
70,UNKNOWN,16-20,COMMUTING TO/FROM WORK
71,UNKNOWN,16-20,TAKING PUPIL TO/FROM SCHOOL
72,UNKNOWN,16-20,UNKNOWN
73,UNKNOWN,21-25,COMMUTING TO/FROM WORK
74,UNKNOWN,21-25,TAKING PUPIL TO/FROM SCHOOL
75,UNKNOWN,21-25,UNKNOWN
76,UNKNOWN,26-35,COMMUTING TO/FROM WORK
77,UNKNOWN,26-35,TAKING PUPIL TO/FROM SCHOOL
78,UNKNOWN,26-35,UNKNOWN
79,UNKNOWN,36-45,COMMUTING TO/FROM WORK
80,UNKNOWN,36-45,TAKING PUPIL TO/FROM SCHOOL
81,UNKNOWN,36-45,UNKNOWN
82,UNKNOWN,46-55,COMMUTING TO/FROM WORK
83,UNKNOWN,46-55,TAKING PUPIL TO/FROM SCHOOL
84,UNKNOWN,46-55,UNKNOWN
85,UNKNOWN,56-65,COMMUTING TO/FROM WORK
86,UNKNOWN,56-65,TAKING PUPIL TO/FROM SCHOOL
87,UNKNOWN,56-65,UNKNOWN
88,UNKNOWN,6-10,UNKNOWN
89,UNKNOWN,66-75,COMMUTING TO/FROM WORK
90,UNKNOWN,66-75,TAKING PUPIL TO/FROM SCHOOL
91,UNKNOWN,66-75,UNKNOWN
92,UNKNOWN,OVER 75,UNKNOWN
93,UNKNOWN,UNKNOWN,COMMUTING TO/FROM WORK
94,UNKNOWN,UNKNOWN,TAKING PUPIL TO/FROM SCHOOL
95,UNKNOWN,UNKNOWN,UNKNOWN
