CASUALTY_KEY,COLLISION_INDEX,VEHICLE_REFERENCE,CASUALTY_REFERENCE,AGE_OF_CASUALTY,CAR_PASSENGER,BUS_OR_COACH_PASSENGER,IS_FATAL,CASUALTY_COUNT
,2024991534042,1,1,39,0,0,0,1
92,2024430342145,2,1,25,0,0,0,1
106,2024471442093,2,1,49,0,0,0,1
,2024101511084,1,1,39,0,0,0,1
107,2024161531062,1,1,59,0,0,0,1
239,2024421434943,2,1,62,0,0,0,1
167,2024010533954,1,1,44,0,0,0,1
,2024131453448,1,2,35,1,0,0,1
259,2024010511909,2,1,34,0,0,0,1
239,2024070726166,2,1,58,0,0,0,1
,2024041431001,1,1,64,0,0,0,1
,2024221507586,2,1,20,0,0,0,1
,2024201460272,1,1,24,0,0,0,1
203,2024010497396,1,1,44,0,0,0,1
,2024010516342,2,2,20,0,0,0,1
,2024161433687,1,1,25,0,0,0,1
,2024501530928,1,1,79,0,0,0,1
,2024401476511,2,1,15,0,4,0,1
258,2024461485418,1,2,21,0,0,0,1
,2024622400553,1,1,43,0,0,0,1
,2024401427857,1,1,44,0,0,0,1
,202460Q033880,1,1,66,0,4,0,1
,2024010544936,1,1,36,0,0,0,1
,2024101398247,2,2,58,1,0,0,1
,202417M104724,2,1,37,0,0,0,1
,2024201501710,1,1,20,0,0,0,1
,2024547863324,1,1,39,0,0,0,1
,2024991463793,1,1,58,1,0,0,1
,2024010512488,1,1,35,0,0,0,1
,2024010533787,1,1,23,0,0,0,1
,2024061510233,2,1,21,0,0,0,1
,2024201439875,2,1,28,1,0,0,1
,2024131529520,1,1,52,0,0,0,1
82,2024010516970,2,1,49,0,0,0,1
104,2024371479913,2,1,26,0,0,0,1
190,2024201431872,2,1,25,0,0,0,1
,2024302400743,1,1,43,0,0,0,1
,2024211467308,2,1,20,0,0,0,1
,2024221425428,1,1,69,0,0,0,1
,2024411395996,2,1,19,0,0,0,1
91,2024351423134,2,1,16,0,0,0,1
69,2024471426721,1,1,35,0,0,0,1
259,2024010491285,1,1,35,0,0,0,1
,2024010495131,2,2,35,2,0,0,1
,2024061490857,2,1,74,0,0,0,1
,2024231422652,2,1,19,0,0,0,1
,2024340WN3712,2,2,12,2,0,0,1
,2024010498838,1,1,41,0,3,0,1
,2024361403677,1,1,62,0,0,0,1
,2024421411114,1,1,23,0,0,0,1
,2024991448368,1,2,29,0,0,0,1
102,2024010528453,1,1,19,0,0,0,1
108,2024351440758,2,1,7,0,0,0,1
257,2024520402919,1,1,18,0,0,0,1
,2024061483186,2,1,53,0,0,0,1
,2024440275424,1,1,17,2,0,0,1
,2024520402065,2,1,31,0,0,0,1
,2024991394520,2,2,28,0,0,0,1
138,2024411486622,2,3,55,-1,0,0,1
,2024131451056,1,2,18,0,0,0,1
,2024440433423,1,1,49,1,0,0,1
,2024501484479,2,2,27,0,0,0,1
,2024991455489,2,1,54,1,0,0,1
,2024522402664,2,1,28,0,0,0,1
,2024010515471,2,1,23,0,0,0,1
106,2024010517393,1,1,52,0,0,0,1
40,2024010494548,2,1,36,0,0,0,1
,2024201449721,1,1,41,0,0,0,1
,2024211511938,1,1,21,0,0,1,1
,2024552400987,2,2,20,1,0,0,1
,2024131463073,1,1,80,0,0,0,1
104,2024522401255,2,1,31,0,0,0,1
,2024010488172,1,1,44,0,0,0,1
,2024231451867,2,1,77,0,0,0,1
,2024411416765,2,1,47,0,0,0,1
,2024430175040,2,1,53,0,0,0,1
20,2024991476991,1,1,19,0,0,0,1
,2024371423097,1,1,38,0,0,0,1
,2024991493582,1,2,25,1,0,0,1
,2024451520495,1,1,10,0,0,0,1
262,2024522401394,3,2,65,0,0,0,1
,2024101519201,2,1,33,0,0,0,1
,2024221507611,1,2,63,1,0,0,1
,2024440472190,1,1,47,0,0,0,1
,2024471506240,2,2,20,0,0,0,1
,2024631458460,1,1,72,0,0,0,1
,2024201497913,1,1,29,0,0,0,1
,2024231521181,1,1,11,0,0,0,1
,2024430471081,1,1,4,0,0,1,1
110,2024010532905,2,1,87,0,0,0,1
,2024320136496,2,2,52,1,0,0,1
,2024371472569,1,1,22,0,0,0,1
,2024440197323,1,5,19,0,0,0,1
,2024991487997,1,2,59,1,0,1,1
,2024221471575,3,2,26,0,4,0,1
,2024101410740,2,1,23,0,0,0,1
,2024131492402,1,1,14,0,0,0,1
104,2024010540646,2,1,35,0,0,0,1
131,2024311441501,1,2,67,0,0,1,1
,2024010511230,1,1,32,0,0,0,1
,2024221421136,2,3,3,2,0,0,1
,2024231503283,1,1,25,0,0,0,1
,2024302401447,1,1,88,0,0,0,1
,2024201451521,1,1,34,0,0,0,1
,2024201520311,1,1,29,0,0,0,1
,2024440468745,1,2,23,9,0,0,1
,2024451413067,1,1,63,0,0,0,1
,2024010493026,2,1,50,0,0,0,1
,2024010523755,1,1,38,0,0,0,1
,2024061434532,2,2,43,1,0,0,1
,2024201502861,2,1,26,0,0,0,1
,2024401481797,1,1,64,0,0,0,1
,2024440077824,1,2,35,1,0,0,1
,2024010551291,1,1,33,0,0,0,1
,2024231499130,2,2,3,2,0,0,1
,2024421517821,1,1,31,0,0,0,1
,2024340WN2162,1,1,24,0,0,0,1
,2024122400422,2,1,36,0,0,0,1
,2024522401767,1,1,35,0,0,0,1
,2024010541982,1,1,30,0,0,0,1
,2024070971270,1,1,39,0,0,0,1
23,2024010524864,2,1,44,0,0,0,1
,2024201466540,2,1,21,0,0,0,1
,2024221481483,1,1,19,0,0,0,1
,2024401448957,2,1,48,0,0,0,1
,2024010527914,1,1,19,0,0,0,1
,2024101411723,2,3,6,2,0,0,1
,2024122500118,2,2,81,0,0,0,1
,2024471509159,1,1,18,0,0,0,1
104,2024061434138,1,1,28,0,0,0,1
,2024131413719,2,1,39,0,0,0,1
,2024302400163,2,1,20,0,0,0,1
,2024552401289,2,1,62,0,0,0,1
,2024131463570,1,1,60,0,0,0,1
,2024010510528,1,1,16,0,0,0,1
,2024031532161,1,2,15,0,0,0,1
106,2024131458486,2,1,52,0,0,0,1
80,2024531436166,2,1,30,0,0,0,1
,2024461426977,1,3,16,2,0,0,1
,2024311471041,1,1,55,0,0,0,1
,202454D507924,2,2,54,0,0,0,1
,2024161537930,1,1,19,0,0,0,1
74,2024010502680,2,1,67,0,0,0,1
92,2024320387392,2,1,25,0,0,0,1
,2024231447760,2,1,25,0,0,0,1
,2024340WN1472,1,1,11,0,0,0,1
235,2024430045774,1,1,22,0,0,0,1
,2024201535573,1,1,21,0,0,0,1
,2024421482355,1,2,32,0,0,0,1
,2024501438441,1,1,30,0,0,0,1
,2024610051724,1,1,23,1,0,0,1
,2024010530621,1,1,42,0,0,0,1
,2024041444941,1,1,72,0,0,0,1
,2024430187911,1,1,29,0,0,0,1
,2024461497500,1,1,39,0,0,0,1
,2024471500781,1,1,60,0,0,0,1
,2024991468494,1,1,58,0,0,0,1
,2024430583961,1,1,14,0,0,0,1
,2024131418255,1,2,22,2,0,0,1
,2024320058759,2,1,61,0,0,0,1
,2024361442023,2,3,3,2,0,0,1
,2024010515205,1,1,23,0,0,0,1
,2024010531460,1,1,39,0,0,0,1
257,2024430174504,1,1,19,0,0,0,1
,2024131514990,2,3,13,1,0,0,1
,2024332400394,1,1,21,0,0,0,1
,2024430098847,1,1,56,0,0,0,1
,2024010505692,1,1,60,0,0,0,1
,2024201460272,1,2,3,0,0,0,1
,2024461487067,1,1,31,0,0,0,1
259,2024010496615,1,1,34,0,0,0,1
,2024010496257,1,1,27,0,0,0,1
,2024430169367,2,2,60,0,0,0,1
,2024010550852,1,1,31,0,0,0,1
,2024052402858,1,1,19,0,0,0,1
104,2024201466595,2,1,30,0,0,0,1
94,2024451394924,2,1,43,0,0,0,1
,2024010506106,2,1,32,0,0,0,1
,2024101476879,2,2,53,2,0,0,1
,2024332400155,2,1,21,0,0,0,1
,2024361526794,1,1,80,0,0,0,1
,2024461522570,1,1,33,0,0,0,1
,2024010533521,2,2,38,0,4,0,1
41,2024201491972,1,1,50,0,0,0,1
,2024461406289,2,2,26,1,0,0,1
,2024531416350,2,2,60,0,0,0,1
,2024010500562,1,1,52,0,0,0,1
,2024991425128,1,1,13,0,0,0,1
104,2024161444228,2,1,35,0,0,0,1
67,2024351468632,2,1,20,0,0,0,1
151,2024631512237,2,1,71,0,0,0,1
,2024131450265,1,1,23,0,0,0,1
,2024411412744,2,2,46,0,0,0,1
,2024440218967,2,2,31,0,0,0,1
,2024552400573,1,1,87,1,0,0,1
,2024131474072,1,1,47,0,0,0,1
,2024010494962,1,1,36,0,0,0,1
169,2024501470122,1,1,64,0,0,0,1
,2024201492860,2,1,36,0,0,0,1
,2024201533608,2,2,27,0,0,0,1
,2024531519610,2,2,45,0,0,0,1
,2024411503330,1,2,44,0,0,0,1
149,2024631489778,2,1,48,0,0,0,1
,2024430095147,2,1,42,0,0,0,1
104,2024010504200,1,1,28,0,0,0,1
169,2024552400558,1,1,64,0,0,0,1
,2024010530186,2,1,53,1,0,0,1
238,2024451418537,1,1,55,0,0,0,1
,2024070505441,1,1,31,0,0,0,1
,2024501520231,1,1,11,0,0,0,1
102,2024471475668,1,1,16,0,0,0,1
,2024101437766,3,1,39,0,0,0,1
,2024010505240,1,1,23,0,0,0,1
,2024161452973,1,1,46,0,0,0,1
,2024221502565,1,1,20,0,0,0,1
,2024221522839,2,1,29,1,0,0,1
,2024471421059,1,1,23,0,0,0,1
,2024010505316,1,1,50,0,0,0,1
,2024052401381,2,1,26,0,0,0,1
,2024461531987,1,2,83,0,0,0,1
,2024471478193,1,1,25,0,0,0,1
,2024552400598,1,1,11,0,0,0,1
101,2024161423139,2,1,13,0,0,0,1
,2024131412977,1,2,56,0,0,0,1
,2024161411850,2,1,24,0,0,0,1
,2024461426899,2,1,48,0,0,0,1
,2024041454557,3,1,47,2,0,0,1
,2024411458289,2,1,91,0,0,0,1
,2024471436210,2,3,49,0,0,0,1
,2024622400584,2,3,61,1,0,0,1
,2024111484964,1,2,30,-1,0,0,1
167,2024010511948,2,1,45,0,0,0,1
150,2024031441584,1,1,58,0,0,0,1
,2024471479612,1,1,74,0,0,0,1
,2024351539005,2,2,46,1,0,0,1
,2024010516137,1,2,35,1,0,0,1
,2024141514484,2,1,36,0,0,0,1
,2024201470230,1,1,44,0,0,0,1
,2024311506020,1,2,55,0,0,0,1
,2024411541195,1,5,16,2,0,0,1
,2024010519717,1,1,54,0,0,0,1
,2024010550036,1,1,24,0,0,0,1
,2024201476937,2,3,18,2,0,0,1
,2024201499732,2,1,37,0,0,0,1
,2024451442429,2,2,71,1,0,0,1
,2024991505819,1,2,89,0,0,0,1
82,2024010528458,1,1,55,0,0,0,1
101,2024101489969,1,1,13,0,0,0,1
,2024991400539,1,3,22,2,0,0,1
,2024991442712,1,1,88,0,0,0,1
105,2024991403175,2,1,38,0,0,0,1
37,2024631417802,1,1,17,0,0,0,1
,2024311510192,1,1,19,0,0,0,1
,2024501501800,1,1,36,0,0,0,1
,2024552400223,2,3,40,1,0,0,1
,2024221422295,2,2,59,0,0,0,1
,2024461477222,1,1,58,0,0,0,1
,2024332400252,1,1,29,0,0,0,1
,2024371466497,1,1,18,0,0,0,1
,2024010505321,1,1,26,0,0,0,1
259,2024221497625,1,1,30,0,0,0,1
,2024031401475,1,2,65,2,0,0,1
,2024201435567,2,2,19,0,0,0,1
,2024520402420,2,3,25,2,0,0,1
,2024991486413,1,1,30,0,0,0,1
,2024411447147,1,2,52,0,0,0,1
205,2024622400602,1,1,13,0,0,0,1
,2024010526008,1,1,41,0,0,0,1
,2024211416660,1,1,44,0,0,0,1
,2024991414729,1,1,82,0,0,1,1
,2024991534791,1,3,20,1,0,0,1
66,2024501508906,2,1,13,0,0,0,1
259,2024010494685,1,1,30,0,0,0,1
,2024141415947,2,1,77,0,0,0,1
,2024211507793,2,3,29,1,0,0,1
,2024430531958,1,2,77,1,0,0,1
110,2024010532395,1,1,77,0,0,0,1
102,2024010535877,1,1,17,0,0,0,1
166,2024122400369,1,1,34,0,0,0,1
,2024070138981,2,4,24,2,0,0,1
,2024302500108,2,1,27,0,0,0,1
,2024320415117,2,1,29,0,0,0,1
,2024421408902,2,1,19,0,0,0,1
,202454C911724,1,1,15,0,0,0,1
260,2024010490291,1,1,39,0,0,0,1
,2024201508784,2,1,55,0,0,0,1
,2024131475620,2,1,19,1,0,0,1
,2024471456456,2,5,15,2,0,0,1
,2024010509998,1,1,39,0,0,0,1
,2024010493779,1,1,26,0,0,0,1
,2024010539592,1,1,59,0,0,0,1
,2024501402965,1,1,68,0,0,0,1
104,2024010533485,2,2,28,0,0,0,1
,2024010532193,2,1,32,0,0,0,1
,2024351538229,2,1,47,0,0,0,1
,2024371437293,2,1,53,0,0,0,1
,2024430049627,1,1,14,0,0,0,1
,2024471444578,1,2,68,0,0,0,1
71,2024351414587,2,1,50,0,0,0,1
,2024440219303,1,1,58,0,0,0,1
,2024461439473,1,1,24,2,0,0,1
,2024010547837,2,2,47,0,0,0,1
,2024320260973,1,1,16,2,0,0,1
106,2024010489937,1,1,52,0,0,0,1
105,2024010508904,2,1,36,0,0,0,1
,2024361484370,2,1,23,0,0,0,1
,2024520402161,1,2,9,2,0,0,1
,2024371528458,1,1,17,0,0,0,1
,2024411429605,2,3,8,2,0,0,1
,2024552400806,1,1,65,0,0,0,1
,2024421453195,1,1,28,0,0,0,1
104,2024311439201,2,1,33,0,0,0,1
257,2024221463388,1,1,20,0,0,0,1
236,2024610022524,2,2,26,0,0,0,1
,2024221400033,1,3,24,2,0,0,1
,2024501456905,1,1,48,1,0,0,1
,2024141529718,2,2,40,2,0,0,1
,2024320107239,1,2,16,2,0,0,1
,2024440280231,1,1,43,0,0,0,1
,2024440324724,2,1,73,0,0,0,1
,2024010546927,2,1,36,0,0,0,1
106,2024010547864,1,1,50,0,0,0,1
,2024201418891,1,4,28,0,0,0,1
,2024991414761,2,2,69,0,0,0,1
83,2024010538797,1,1,58,0,0,0,1
169,2024361466027,1,1,64,0,0,0,1
,2024041485389,2,2,44,0,0,0,1
,2024201401805,2,1,25,0,0,0,1
,2024302400721,2,4,62,1,0,0,1
,2024451463174,2,2,38,0,0,0,1
,2024501433166,3,2,43,0,0,0,1
,2024991459132,2,3,24,0,0,0,1
,2024461535716,1,2,45,0,0,0,1
,2024122400091,2,1,23,0,0,0,1
,2024131496008,1,1,54,0,0,0,1
,2024221398098,2,4,25,1,0,0,1
,2024461474263,5,1,44,0,0,0,1
,2024311482962,1,1,28,0,-1,0,1
,2024010530103,1,1,11,0,0,0,1
20,2024221437688,2,1,19,0,0,0,1
,2024161438876,2,1,56,0,0,0,1
,2024351509897,2,1,38,0,0,0,1
,2024451502639,1,1,19,0,0,0,1
,2024991406144,2,1,45,1,0,0,1
,2024461463364,1,1,5,0,0,0,1
,2024471399185,1,1,80,0,0,0,1
,2024531424259,1,1,12,0,0,0,1
168,2024320323199,1,1,50,0,0,0,1
,2024161449180,2,1,58,0,0,0,1
,2024411503330,1,1,77,0,0,0,1
,2024411438206,1,1,57,0,0,0,1
257,2024010526527,1,1,20,0,0,0,1
,2024010537394,1,1,41,0,0,0,1
,2024411503937,1,1,23,0,0,0,1
,2024440379050,1,1,32,1,0,0,1
,2024461520668,1,1,72,0,0,1,1
,2024991423776,2,2,35,1,0,0,1
,2024501405809,1,1,18,0,0,0,1
,2024311515342,1,1,2,0,0,0,1
236,2024211438540,2,1,33,0,0,0,1
24,2024211464382,1,1,55,0,0,0,1
149,2024440056114,2,1,54,0,0,0,1
,2024201474553,2,4,23,0,0,0,1
,2024501431337,1,2,25,0,0,0,1
,2024622400791,1,1,36,0,0,0,1
,2024401544249,2,2,41,0,0,0,1
,2024440195569,1,1,76,0,0,0,1
,2024531521237,2,1,34,0,0,0,1
,2024501487477,2,1,64,0,0,0,1
257,2024010507757,1,1,17,0,0,0,1
136,2024031450904,1,1,29,-1,0,0,1
,2024411498951,1,1,39,0,0,0,1
104,2024221399342,2,1,26,0,0,0,1
