VEHICLE_KEY,DRIVER_KEY,COLLISION_INDEX,VEHICLE_REFERENCE,ENGINE_CAPACITY_CC,AGE_OF_VEHICLE,VEHICLE_COUNT
31,95,2024471493223,2,2198,15,1
31,95,2024010504128,2,2198,18,1
133,8,2024211495435,1,49,21,1
35,49,2024131459645,1,1591,5,1
25,46,2024401457067,1,1685,9,1
29,52,2024061470881,2,1591,6,1
32,20,2024320720049,2,1598,1,1
26,46,2024451400107,1,1991,18,1
26,17,2024201444629,1,1598,2,1
32,27,2024052401059,2,1991,20,1
34,49,2024161509942,1,1591,5,1
34,43,2024201455379,1,1685,6,1
35,20,2024101532988,1,1598,2,1
35,61,2024440043989,2,1685,6,1
29,55,2024451399993,1,1591,4,1
29,64,2024061400498,2,1598,3,1
34,46,2024451498344,1,1591,5,1
31,95,2024430445985,3,1685,8,1
29,20,2024522401390,2,1598,1,1
34,17,2024071043595,2,1685,6,1
29,52,2024471457704,1,1598,2,1
32,64,2024351528513,1,1685,8,1
29,14,2024211508702,1,1685,9,1
34,20,2024430479148,2,1591,4,1
29,55,2024061415140,1,1598,1,1
29,14,2024471420818,2,1598,2,1
32,49,2024010511434,1,1685,8,1
33,95,2024332400535,2,1598,2,1
31,95,2024041513210,2,1598,1,1
32,27,2024351476038,2,1598,2,1
32,61,2024440561684,4,1598,2,1
32,11,2024501526359,1,1598,0,1
29,17,2024461479919,1,1685,7,1
32,52,2024991518213,2,1598,0,1
30,46,2024061506793,1,1685,8,1
34,20,2024531461261,2,1591,5,1
35,17,2024211528451,1,1591,4,1
33,55,2024421526835,1,1598,0,1
25,52,2024451453170,2,1598,3,1
26,55,2024471461893,1,1598,0,1
35,23,2024421525401,2,1591,5,1
31,95,2024411543318,3,1598,3,1
33,55,2024547627224,2,1598,1,1
29,14,2024622400704,2,1591,6,1
29,18,2024451496068,1,1598,1,1
32,52,2024461484397,2,1598,0,1
26,46,2024991425384,1,1598,0,1
34,20,2024991495962,1,1598,0,1
31,49,2024451466997,2,1598,6,1
29,49,2024501505618,1,1685,6,1
31,95,2024311439407,4,1991,19,1
29,30,2024622400340,2,1598,1,1
34,17,2024501404417,2,1598,2,1
26,52,2024451426735,1,1591,6,1
33,23,2024991517446,1,1598,3,1
34,52,2024101512099,2,1598,2,1
29,49,2024061466769,1,1598,2,1
29,95,2024061483513,1,1685,7,1
26,14,2024201455904,1,1685,7,1
31,95,2024501445721,4,1685,9,1
32,61,2024131498285,2,1685,6,1
32,17,202417L405524,2,1685,8,1
32,14,2024531474112,1,1598,0,1
27,15,2024421440590,1,1591,7,1
32,52,2024411435095,1,1598,1,1
31,95,2024131399230,3,1598,2,1
32,55,2024332400833,1,1591,6,1
29,54,2024302401322,3,1598,4,1
34,49,2024461485287,2,1598,1,1
26,95,2024332400856,2,1598,3,1
26,64,2024320409419,1,1598,1,1
33,54,2024461405609,1,1598,2,1
32,67,2024070045283,3,1591,5,1
32,27,2024221425056,1,1591,5,1
32,46,2024401498578,3,1598,0,1
29,93,2024052400526,1,1995,8,1
33,17,2024211486149,2,1598,2,1
33,46,2024211467317,1,1591,7,1
29,17,2024440160193,1,1598,1,1
33,23,2024351521149,1,1598,2,1
35,49,2024461502259,2,1598,1,1
32,23,2024371449834,1,1598,3,1
29,61,2024161414385,2,1598,2,1
31,67,202417H105424,2,1591,6,1
32,17,2024031416266,2,1598,5,1
26,49,2024010543027,1,1598,2,1
29,49,2024061521294,2,1685,7,1
29,17,2024311428375,1,1591,4,1
32,64,2024371467790,2,1591,7,1
32,67,2024430124054,1,1598,3,1
35,14,2024041449079,2,1995,7,1
34,17,2024991453034,1,1598,1,1
32,20,2024401545136,2,1598,0,1
35,23,2024461456937,1,1598,1,1
29,48,2024010503857,1,1591,5,1
32,46,2024101475276,2,1598,1,1
32,92,2024461520783,2,1598,0,1
29,17,2024430336172,2,1685,8,1
27,67,2024052400817,1,1598,1,1
32,52,2024411493959,2,1685,8,1
33,33,2024052400769,1,1598,2,1
29,52,2024471499090,2,1598,2,1
31,95,2024010545230,2,1591,5,1
35,51,2024131500443,2,1598,0,1
32,16,2024302401453,2,1685,9,1
34,20,2024131404969,1,1598,1,1
29,55,2024031441181,2,1685,7,1
35,14,2024451433949,2,1598,0,1
33,17,2024991496153,1,1591,7,1
31,95,2024201517309,5,1598,1,1
90,17,2024520001444,1,-1,-1,1
29,20,2024010497984,2,1591,7,1
31,81,2024451436112,2,1591,6,1
29,17,2024451479306,2,1598,1,1
29,53,2024010542149,2,1598,0,1
29,23,2024201526764,2,1598,0,1
32,17,2024010548897,1,1685,9,1
32,47,2024430559078,1,1591,5,1
34,46,2024010513922,1,1598,2,1
32,55,2024991450075,2,1598,1,1
29,14,2024991413806,2,1598,6,1
33,49,2024411492107,2,1591,4,1
29,49,2024991405687,2,1591,4,1
29,20,2024631464104,1,1685,7,1
32,61,2024361433663,2,1598,2,1
28,17,2024311428771,1,1591,5,1
35,20,2024101518624,2,1598,1,1
29,55,2024041424509,1,1598,1,1
34,49,2024122400638,2,1598,0,1
29,17,2024061427442,1,1591,4,1
30,48,2024451518969,2,1591,8,1
29,55,2024520000020,2,1591,5,1
27,49,2024461497186,1,1598,2,1
34,52,2024421512315,5,1598,1,1
31,95,2024440431076,2,1598,2,1
29,14,2024041535526,1,1685,8,1
32,52,2024010522913,3,1598,0,1
35,49,2024991454652,1,1598,0,1
35,16,202460Q053161,2,1685,7,1
34,49,2024010546336,1,1591,5,1
32,48,2024622400328,3,1598,3,1
31,95,2024302401773,2,1598,5,1
31,33,2024421512023,1,1591,5,1
33,52,2024351442039,2,1591,5,1
29,52,2024320403803,1,1685,7,1
29,64,2024451487290,2,1598,2,1
31,95,2024461521520,2,1685,8,1
29,23,2024401417150,2,1591,8,1
32,16,2024111462199,2,1598,2,1
31,95,2024411473714,2,1598,0,1
31,55,2024031399651,2,1598,1,1
32,55,2024302401333,1,1591,7,1
34,21,2024546887924,2,1995,9,1
29,20,2024522401523,1,1591,5,1
29,55,2024010551662,1,1598,1,1
32,55,2024052402280,2,1598,1,1
26,14,2024610009724,2,1598,1,1
30,53,2024451458029,2,1685,8,1
29,27,2024231493530,1,1598,0,1
33,61,2024610020024,3,1591,5,1
29,65,2024440529640,1,1598,0,1
29,50,2024221405118,1,1685,8,1
31,95,2024311485815,2,1685,7,1
33,15,2024991484364,2,1591,6,1
32,17,2024451460637,2,1591,5,1
32,55,2024520500080,2,1598,1,1
25,95,2024332400117,1,1975,15,1
29,51,2024041530920,2,1995,9,1
33,50,2024041535431,1,1591,3,1
33,27,2024061505126,1,1598,1,1
33,48,2024991575086,1,1685,8,1
29,46,2024052401296,1,1591,5,1
29,52,2024131491046,2,1591,5,1
29,46,2024545005424,1,1598,0,1
34,14,202460Q084072,2,1995,7,1
32,49,2024401529324,3,1591,5,1
32,17,2024061479366,2,1685,7,1
33,17,2024631503581,1,1598,1,1
29,49,2024332401189,1,1598,6,1
29,19,2024010495453,2,1591,6,1
33,27,2024010534003,1,1598,2,1
26,20,2024471492225,1,1598,2,1
25,81,2024131411033,1,1598,2,1
33,49,2024131513212,1,1591,4,1
32,20,2024991499778,2,1598,1,1
25,33,2024501547395,1,1598,0,1
28,19,2024552400668,1,1995,7,1
34,14,2024522500239,3,1685,8,1
192,50,2024061479574,1,1598,2,1
29,17,2024010548674,1,1591,7,1
29,49,2024071048388,1,1598,1,1
26,40,2024201413944,1,1685,7,1
33,17,2024451435989,1,1598,2,1
32,46,2024061481936,1,1598,0,1
27,20,2024010524688,1,1591,6,1
34,23,2024991409428,2,1591,5,1
32,23,2024549093824,2,1598,2,1
34,52,2024101493737,2,1598,2,1
31,55,2024991522943,1,1598,3,1
33,20,2024440534311,1,1591,5,1
35,13,2024471443798,1,1995,8,1
34,17,2024340WN0452,2,1591,7,1
31,30,2024501465569,1,1685,6,1
29,52,2024991455940,1,1598,0,1
29,46,2024201517285,1,1591,6,1
34,49,2024311397105,1,1598,2,1
34,17,2024461532142,2,1685,9,1
33,54,2024201419874,1,1991,19,1
34,46,2024522403065,3,1591,6,1
33,49,2024221450104,1,1598,1,1
31,95,2024010504503,2,1598,2,1
32,55,2024231498279,2,1591,5,1
25,55,202417S104324,2,1991,18,1
29,45,2024010542166,1,1598,1,1
31,95,2024401490548,2,1591,5,1
29,14,2024041426261,1,1591,6,1
31,14,2024540688424,2,1598,2,1
30,95,2024061427623,2,1591,6,1
35,95,2024061435295,1,1598,0,1
29,49,2024010525143,2,1591,6,1
31,95,2024501405976,2,1685,6,1
26,23,2024231509329,2,1598,3,1
33,17,2024211490849,1,1995,8,1
26,55,2024302400138,1,1598,2,1
33,52,2024131468015,2,1598,1,1
31,14,2024161488879,2,1598,0,1
29,50,2024631514879,1,1685,8,1
31,17,2024421507073,8,1598,2,1
32,46,2024161511569,1,1598,0,1
33,46,2024991408853,2,1591,4,1
5,41,2024371480521,2,6596,9,1
9,41,2024501539298,1,6596,2,1
11,50,2024221425428,2,6596,2,1
8,46,2024461438503,2,6596,1,1
32,49,2024010493836,1,3778,16,1
29,20,2024010527406,1,3960,25,1
32,20,2024131412566,2,1995,3,1
156,43,2024010512179,1,649,9,1
155,51,2024471466559,1,649,11,1
138,42,2024451438870,2,296,9,1
150,54,2024010548709,1,649,13,1
151,46,2024991413369,1,649,11,1
152,52,2024430430750,1,649,17,1
138,49,2024320428976,2,500,19,1
5,60,2024471455507,2,4400,12,1
26,14,2024361451020,1,-1,1,1
26,53,2024411521186,1,-1,0,1
35,49,2024451488215,1,-1,1,1
29,53,2024471397681,1,-1,2,1
29,49,2024401528624,1,-1,2,1
33,52,2024421501807,1,-1,1,1
29,47,2024131486721,2,-1,1,1
33,14,2024411471110,3,-1,1,1
29,49,2024010537069,1,-1,1,1
28,49,2024141409595,2,-1,1,1
32,17,2024010550437,1,-1,0,1
34,52,2024010518881,1,-1,1,1
34,49,2024351474187,2,-1,1,1
31,95,2024010519480,3,-1,0,1
34,61,2024471510576,5,-1,0,1
33,67,2024070887597,1,-1,0,1
29,17,2024311476043,1,-1,0,1
31,33,2024440071858,3,1499,6,1
32,49,2024631528955,1,1598,12,1
31,95,2024351526648,2,1598,12,1
32,14,2024061498769,1,1499,6,1
31,52,2024421512035,2,1598,11,1
29,16,2024010491103,1,1998,5,1
29,30,2024430360930,1,1499,3,1
30,9,2024041524498,1,1995,10,1
29,14,2024421494995,1,1499,4,1
31,95,2024010503457,2,1998,5,1
34,17,2024351539701,2,1995,12,1
29,44,2024010496147,2,1499,5,1
29,20,2024411443179,2,1998,7,1
29,23,2024351567930,1,1499,7,1
26,23,2024351506968,1,1598,10,1
32,27,2024131503859,1,1499,5,1
29,49,2024451406947,2,1499,6,1
33,49,2024461507410,2,1499,6,1
33,23,2024421483055,2,1499,5,1
29,55,2024010497508,1,1998,4,1
29,20,2024440364765,1,1998,6,1
33,23,2024031494632,1,1598,13,1
32,19,202417S202124,2,1499,2,1
32,52,2024991402765,2,1995,12,1
31,55,2024361404913,2,1598,9,1
33,64,2024531452533,1,1499,1,1
34,23,2024991495943,2,1998,0,1
29,17,2024501521325,1,1995,8,1
33,27,2024201433319,1,1598,10,1
29,47,2024010517513,1,1499,2,1
29,55,2024471507704,1,1998,4,1
32,46,2024461441929,2,1499,6,1
32,52,202460Q186345,1,1998,1,1
34,13,2024070999909,1,1499,3,1
34,30,2024211415277,2,1995,11,1
29,14,2024320189561,2,1598,11,1
33,43,2024061459675,1,1998,3,1
26,17,2024010534249,2,1995,7,1
28,23,2024421419264,2,1499,2,1
34,14,2024471477220,2,1598,9,1
28,17,2024471454003,2,1998,4,1
33,17,2024361467692,2,1598,10,1
29,40,2024010518553,1,1998,7,1
34,14,2024141555008,1,1499,1,1
26,55,2024501486067,1,1995,11,1
31,95,2024471471856,3,1598,12,1
26,53,2024122400586,1,1598,12,1
34,23,2024101396212,3,1499,5,1
26,43,2024010503303,1,1499,3,1
25,81,2024451474804,2,1499,5,1
32,55,2024010490958,3,1998,4,1
31,95,2024421457139,3,1598,12,1
27,33,2024440172864,1,1499,3,1
34,17,2024501435603,2,1499,6,1
31,95,2024471523240,4,1499,1,1
34,20,2024520500409,1,1598,12,1
29,17,2024221415278,2,1598,10,1
34,13,2024371498546,2,1995,11,1
29,23,2024221539054,2,1995,13,1
33,27,2024122401052,2,1995,10,1
29,20,2024461536073,2,1995,11,1
33,17,2024122400246,1,1998,2,1
27,23,2024122400851,1,1995,11,1
31,95,2024520003096,2,1499,6,1
30,23,2024311509054,2,1499,5,1
29,14,2024052401693,1,1499,6,1
33,27,2024552401466,1,1499,0,1
29,17,2024471454761,1,1499,2,1
32,55,2024141448106,1,1998,1,1
31,20,2024311529660,2,1499,6,1
30,61,2024340NN2332,2,1998,1,1
32,49,2024421437988,4,1499,1,1
29,46,2024552400223,1,1598,11,1
31,95,2024010531336,5,1499,6,1
32,20,2024451456114,3,1499,6,1
31,67,2024070637326,2,1598,8,1
25,91,2024010537159,2,1499,1,1
31,20,2024201443523,8,1598,12,1
29,17,2024531490821,1,1499,5,1
33,54,2024501488198,1,1598,12,1
35,23,2024411492868,1,1998,1,1
31,95,2024041462736,3,1598,8,1
29,17,202454F063124,1,1995,8,1
32,11,2024421481557,2,1600,13,1
34,20,2024471397029,3,1598,8,1
32,23,2024010511918,2,1499,5,1
32,64,2024320638926,1,1995,12,1
29,14,2024421518944,3,1499,5,1
29,55,2024211520577,2,1499,4,1
27,55,2024052400321,1,1995,12,1
29,27,2024361520652,1,1998,4,1
34,23,2024421437389,2,1499,1,1
32,52,2024031491147,2,1499,0,1
29,19,2024311529107,2,1995,5,1
29,52,2024440241820,1,1998,7,1
31,95,2024471482597,2,1998,4,1
35,20,2024361407215,2,1598,8,1
34,23,2024631481974,1,1995,10,1
31,95,2024010516989,3,1499,5,1
25,17,2024010503546,2,1598,10,1
32,17,2024501426918,1,1995,11,1
29,22,2024041513290,1,1998,6,1
32,49,2024471456457,2,1995,13,1
27,17,2024522401706,1,1499,2,1
29,23,2024430446723,2,1499,3,1
29,44,2024430480810,1,1499,0,1
32,61,2024231460263,1,1499,6,1
32,17,2024461476905,1,1499,3,1
31,95,2024161485315,3,1193,10,1
29,30,2024501431185,1,1193,6,1
30,17,2024361467128,2,1193,6,1
26,8,2024101508712,2,1193,9,1
26,11,2024010534182,1,1193,10,1
32,17,2024201525933,1,1193,5,1
34,27,2024471531678,3,1193,4,1
33,64,2024101514967,1,1193,5,1
33,16,2024430353224,1,1193,10,1
33,45,2024161411990,1,1193,10,1
34,17,2024610031624,1,1193,11,1
29,64,2024991425018,1,1193,10,1
29,61,2024421489977,1,1193,11,1
29,27,2024631457960,1,1193,9,1
29,46,2024549527124,1,1193,10,1
27,64,2024221423509,2,1193,11,1
31,95,2024010526771,2,1193,7,1
33,17,2024010514277,1,1586,20,1
32,17,2024371415314,1,1586,19,1
120,46,2024552400623,1,124,16,1
155,55,2024451420342,2,1200,6,1
207,61,2024361497636,2,1896,26,1
35,20,2024371532830,2,1390,22,1
26,52,2024361556734,2,1422,20,1
30,52,2024430257267,1,1390,23,1
34,49,2024440504872,1,1422,22,1
29,27,2024501520603,1,1390,21,1
29,49,2024031494590,1,1598,22,1
26,20,2024501488135,1,1390,19,1
30,49,2024522402368,1,1390,22,1
34,51,2024401463114,1,1390,19,1
29,43,2024622400749,1,995,17,1
31,49,2024211495420,2,995,16,1
33,52,2024010504090,1,995,16,1
34,49,2024201491840,1,995,16,1
32,61,2024211473248,1,995,16,1
26,8,2024501533061,2,796,17,1
26,46,2024141487828,1,796,16,1
29,40,2024522402564,1,796,15,1
31,95,2024471436242,3,796,15,1
26,46,2024340NN0232,1,796,15,1
32,8,2024211409703,1,995,16,1
29,46,2024052402423,1,796,17,1
29,8,2024351436885,2,995,17,1
29,40,2024141399032,1,995,16,1
34,54,2024061467980,1,1796,27,1
32,46,2024041464027,2,1796,32,1
29,55,2024211474769,2,1296,42,1
27,43,2024371469684,1,-1,-1,1
32,14,2024371443317,2,1596,28,1
188,93,2024522401736,2,1499,6,1
150,51,2024451486144,2,1000,12,1
120,43,2024451450017,1,125,3,1
122,49,2024332400124,1,125,2,1
117,46,2024421403966,1,125,0,1
121,40,2024201522643,1,125,3,1
126,54,2024070142145,1,125,4,1
120,55,2024311495024,1,125,6,1
134,40,2024311439163,1,125,0,1
120,39,2024010509581,1,125,4,1
122,44,2024211491876,2,125,6,1
122,46,2024201491667,2,125,2,1
33,64,2024501457286,1,1498,21,1
26,17,2024351543015,1,1498,23,1
210,48,2024430243103,1,1461,7,1
211,49,2024010536568,2,1461,7,1
205,21,2024411428190,1,1461,5,1
207,51,2024010548152,1,1461,6,1
196,41,2024991459036,1,1461,5,1
210,47,2024351569729,2,1461,0,1
210,53,2024631516951,3,1461,11,1
192,53,2024991475655,1,1461,6,1
210,53,2024361427574,2,1461,7,1
213,51,2024351452041,1,1461,9,1
207,52,2024520000166,2,1461,4,1
209,50,2024231407448,1,1461,9,1
190,46,2024991495495,1,1461,6,1
204,54,2024421402727,2,1461,6,1
207,49,2024548912124,2,1461,7,1
192,50,2024991441944,2,1461,5,1
207,49,2024010532884,1,1461,7,1
196,44,2024991490140,2,1461,6,1
209,95,2024010541984,2,1461,7,1
207,44,2024531421514,1,1461,1,1
189,53,2024552500140,1,1461,6,1
192,50,2024991509716,1,1461,5,1
210,46,2024520403127,4,1461,9,1
209,95,2024141434711,2,1461,7,1
210,55,2024351499599,2,1461,7,1
207,51,2024010539765,1,1461,5,1
190,50,2024991417641,1,1461,5,1
209,61,2024622400786,2,1461,8,1
204,46,2024401457035,1,1461,10,1
207,43,2024010533895,2,1461,3,1
128,40,2024631439647,2,49,24,1
62,55,2024231399264,2,4116,19,1
163,65,2024101453162,1,10837,6,1
204,67,2024211521161,1,2298,5,1
77,95,2024401545582,2,6174,18,1
209,95,2024471401887,2,-1,-1,1
32,20,2024131412724,2,1597,4,1
33,52,2024010526416,2,1597,8,1
32,23,2024552400058,2,1597,6,1
29,64,2024141493184,1,1597,6,1
26,12,2024201519694,1,1597,8,1
128,48,2024122400204,2,49,5,1
132,54,2024031439394,2,49,2,1
128,40,2024430530024,1,49,0,1
155,52,2024131516542,1,599,20,1
154,61,2024361476930,2,675,10,1
155,52,2024141473635,1,675,10,1
210,46,2024351428227,1,1598,7,1
210,53,2024320130912,2,1248,10,1
32,55,2024440197139,3,-1,-1,1
211,52,2024141422250,1,1560,5,1
65,53,2024221487579,2,-1,-1,1
33,59,2024440510834,2,-1,-1,1
207,48,2024070112589,1,1248,8,1
204,55,2024991396979,2,1248,16,1
209,95,2024041470284,3,1686,14,1
210,47,2024061463684,1,1499,2,1
203,53,2024991472756,1,1598,10,1
212,44,2024320749561,2,1248,16,1
204,52,2024622400768,1,1248,8,1
209,44,2024302401068,2,1499,4,1
30,49,2024340WN7362,2,1499,5,1
211,49,2024461431349,2,1686,15,1
212,46,2024401413156,1,1248,15,1
34,17,2024311520008,1,-1,0,1
207,53,2024451450139,2,1499,3,1
